Line 4 x,Line 4 y
9.127573939874E-3,9.980958585463E1
2.628479599388E-2,9.980947432823E1
4.344201804788E-2,9.980936280182E1
6.059924010188E-2,9.980925127542E1
7.775646215588E-2,9.980913974902E1
9.491368420988E-2,9.980902822261E1
1.120709062639E-1,9.980891669621E1
1.292281283179E-1,9.980880516980E1
1.463853503719E-1,9.980869364340E1
1.635425724259E-1,9.980858211699E1
1.806997944799E-1,9.980847059059E1
1.978570165339E-1,9.980835906418E1
2.150142385879E-1,9.980824753778E1
2.321714606419E-1,9.980813601138E1
2.493286826959E-1,9.980802448497E1
2.664859047499E-1,9.980791295857E1
2.836431268039E-1,9.980780143216E1
3.008003488579E-1,9.980768990576E1
3.179575709119E-1,9.980757837935E1
3.351147929659E-1,9.980746685295E1
3.522720150199E-1,9.980735532655E1
3.825866761603E-1,9.979498704830E1
4.080612267742E-1,9.962360926873E1
4.191668269708E-1,9.945156418951E1
4.210525791459E-1,9.928963116955E1
4.211150339324E-1,9.907663432487E1
4.211685666065E-1,9.889406560085E1
4.212310213930E-1,9.868106875617E1
4.288842500456E-1,9.849334306449E1
4.556436087368E-1,9.834613637600E1
4.728008307908E-1,9.834602484960E1
4.899580528448E-1,9.834591332319E1
5.071152748988E-1,9.834580179679E1
5.242724969528E-1,9.834569027038E1
5.414297190068E-1,9.834557874398E1
5.585869410609E-1,9.834546721758E1
5.757441631149E-1,9.834535569117E1
5.929013851689E-1,9.834524416477E1
6.100586072229E-1,9.834513263836E1
6.403732683632E-1,9.833276436011E1
6.642671791460E-1,9.817090562470E1
6.697936789283E-1,9.802655374663E1
6.702694824342E-1,9.779703612390E1
6.703230151083E-1,9.761446739989E1
6.703765477824E-1,9.743189867587E1
6.704300804566E-1,9.724932995186E1
6.704836131307E-1,9.706676122785E1
6.705371458048E-1,9.688419250383E1
6.705906784789E-1,9.670162377982E1
6.706442111530E-1,9.651905505580E1
6.706977438271E-1,9.633648633179E1
6.711267859049E-1,9.609229833995E1
6.813783992136E-1,9.584319249837E1
6.948998657947E-1,9.571559653317E1
7.138049296586E-1,9.560593261972E1
7.309621517126E-1,9.560582109331E1
7.481193737666E-1,9.560570956691E1
7.652765958206E-1,9.560559804050E1
7.824338178746E-1,9.560548651410E1
7.995910399286E-1,9.560537498770E1
8.167482619826E-1,9.560526346129E1
8.339054840366E-1,9.560515193489E1
8.510627060906E-1,9.560504040848E1
8.682199281446E-1,9.560492888208E1
8.853771501986E-1,9.560481735567E1
9.025343722526E-1,9.560470582927E1
9.196915943066E-1,9.560459430286E1
9.368488163606E-1,9.560448277646E1
9.540060384146E-1,9.560437125006E1
9.711632604686E-1,9.560425972365E1
9.883204825226E-1,9.560414819725E1
1.005477704577E0,9.560403667084E1
1.022634926631E0,9.560392514444E1
1.039792148685E0,9.560381361803E1
1.056949370739E0,9.560370209163E1
1.074106592793E0,9.560359056523E1
1.091263814847E0,9.560347903882E1
1.121578475987E0,9.559111076057E1
1.145472386770E0,9.542925202516E1
1.150998886552E0,9.528490014708E1
1.151474690058E0,9.505538252436E1
1.151528222732E0,9.487281380035E1
1.151581755406E0,9.469024507633E1
1.151635288080E0,9.450767635232E1
1.152064330158E0,9.426348836048E1
1.162315943467E0,9.401438251890E1
1.175837410048E0,9.388678655370E1
1.194742473912E0,9.377712264025E1
1.211899695966E0,9.377701111384E1
1.229056918020E0,9.377689958744E1
1.246214140074E0,9.377678806104E1
1.263371362128E0,9.377667653463E1
1.280528584182E0,9.377656500823E1
1.297685806236E0,9.377645348182E1
1.314843028290E0,9.377634195542E1
1.332000250344E0,9.377623042901E1
1.349157472398E0,9.377611890261E1
1.366314694452E0,9.377600737620E1
1.383471916506E0,9.377589584980E1
1.413786577646E0,9.376352757155E1
1.437680488429E0,9.360166883614E1
1.443206988211E0,9.345731695806E1
1.443682791717E0,9.322779933534E1
1.443736324391E0,9.304523061133E1
1.444165366469E0,9.280104261949E1
1.454416979778E0,9.255193677791E1
1.467938446359E0,9.242434081271E1
1.486843510223E0,9.231467689926E1
1.504000732277E0,9.231456537285E1
1.521157954331E0,9.231445384645E1
1.538315176385E0,9.231434232004E1
1.555472398439E0,9.231423079364E1
1.572629620493E0,9.231411926724E1
